date,location_key,search_trends_impetigo,search_trends_nausea,search_trends_itch,search_trends_skin_rash,search_trends_swelling,search_trends_acne
2020-01-01,US,8.63,0.15,6.28,2.58,5.51,5.09
2020-01-02,US,9.16,0.18,6.43,2.37,5.79,5.19
2020-01-03,US,8.75,0.17,6.36,2.3,5.68,5.09
2020-01-04,US,9.16,0.15,6.45,2.32,5.55,5.08
2020-01-05,US,9.31,0.15,6.44,2.25,5.51,5.12
2020-01-06,US,8.33,0.17,6.35,2.25,5.72,5.04
2020-01-07,US,8.16,0.17,6.23,2.15,5.69,4.98
2020-01-08,US,8.09,0.17,6.12,2.06,15.92,4.96
2020-01-09,US,8.1,0.18,6.17,2.05,12.44,5.01
2020-01-10,US,7.58,0.16,5.86,1.97,7.79,4.82
2020-01-11,US,8.62,0.15,6.3,2.11,7.0,5.06
2020-01-12,US,9.27,0.16,6.46,2.19,6.45,5.14
2020-01-13,US,7.89,0.18,6.2,2.14,6.27,4.97
2020-01-14,US,7.88,0.18,6.14,2.11,6.09,5.01
2020-01-15,US,7.89,0.17,6.05,2.07,5.98,5.04
2020-01-16,US,7.9,0.17,5.91,2.0,5.83,4.98
2020-01-17,US,7.46,0.15,5.74,1.93,5.67,4.75
2020-01-18,US,8.53,0.15,6.32,2.11,5.75,5.1
2020-01-19,US,8.95,0.15,6.57,2.17,5.86,5.19
2020-01-20,US,9.2,0.18,6.65,2.23,6.18,5.28
2020-01-21,US,8.12,0.19,6.35,2.12,6.11,5.02
2020-01-22,US,8.0,0.19,6.3,2.07,6.03,5.28
2020-01-23,US,8.82,0.21,6.26,2.07,6.0,5.09
2020-01-24,US,8.05,0.19,6.1,2.02,5.74,5.06
2020-01-25,US,8.88,0.18,6.54,2.22,5.91,5.22
2020-01-26,US,8.5,0.19,6.19,2.15,5.63,5.09
2020-01-27,US,7.57,0.19,6.05,2.17,5.85,5.02
2020-01-28,US,7.79,0.19,6.11,2.15,7.38,5.07
2020-01-29,US,7.71,0.19,6.0,2.11,9.04,5.11
2020-01-30,US,7.75,0.19,6.0,2.06,6.21,4.97
2020-01-31,US,7.24,0.18,5.79,2.0,5.71,4.8
2020-02-01,US,8.34,0.16,6.25,2.19,5.83,5.08
2020-02-02,US,8.46,0.16,6.2,2.15,5.6,4.95
2020-02-03,US,7.75,0.2,6.12,2.23,5.91,5.1
2020-02-04,US,7.78,0.19,6.1,2.14,5.81,5.08
2020-02-05,US,7.71,0.2,6.0,2.08,5.77,4.99
2020-02-06,US,7.74,0.18,6.15,2.07,5.82,4.96
2020-02-07,US,7.4,0.17,5.89,2.05,5.49,4.76
2020-02-08,US,8.49,0.17,6.38,2.2,5.74,5.06
2020-02-09,US,8.98,0.3,6.56,2.23,5.88,5.17
2020-02-10,US,7.85,0.22,6.27,2.21,6.18,5.15
2020-02-11,US,7.84,0.2,6.2,2.12,5.91,5.11
2020-02-12,US,7.71,0.2,6.04,2.06,5.72,5.06
2020-02-13,US,7.43,0.19,5.82,2.01,5.5,4.93
2020-02-14,US,6.64,0.16,5.46,1.89,5.12,4.58
2020-02-15,US,8.34,0.17,6.41,2.2,5.87,5.1
2020-02-16,US,8.91,0.17,6.73,2.26,6.09,5.32
2020-02-17,US,8.91,0.19,6.76,2.27,6.3,5.54
2020-02-18,US,8.18,0.19,6.42,2.21,6.09,5.55
2020-02-19,US,8.09,0.19,6.23,2.1,5.93,5.24
2020-02-20,US,7.98,0.17,6.16,2.03,5.83,5.06
2020-02-21,US,7.6,0.17,5.98,1.98,5.65,4.84
2020-02-22,US,8.55,0.16,6.56,2.13,5.92,5.11
2020-02-23,US,9.27,0.17,6.87,2.23,6.22,5.39
2020-02-24,US,8.01,0.19,6.43,2.17,6.06,5.23
2020-02-25,US,8.08,0.19,6.31,2.09,5.94,5.17
2020-02-26,US,7.87,0.18,6.06,2.04,5.77,5.08
2020-02-27,US,7.84,0.17,5.99,1.97,5.8,4.99
2020-02-28,US,7.21,0.16,5.81,1.92,5.57,4.72
2020-02-29,US,8.38,0.16,6.39,2.08,5.84,5.01
2020-03-01,US,9.08,0.16,6.64,2.1,6.05,5.22
2020-03-02,US,7.87,0.18,6.24,2.09,6.05,5.1
2020-03-03,US,7.74,0.17,6.13,2.01,5.89,5.03
2020-03-04,US,7.87,0.18,6.08,1.99,5.83,5.09
2020-03-05,US,7.77,0.17,6.04,1.97,5.84,5.01
2020-03-06,US,7.31,0.16,5.8,1.91,5.7,4.84
2020-03-07,US,8.22,0.15,6.18,1.99,5.76,5.15
2020-03-08,US,8.55,0.15,6.37,2.03,6.06,5.1
2020-03-09,US,7.62,0.17,6.25,2.04,6.08,5.04
2020-03-10,US,7.48,0.17,6.14,1.96,6.02,4.92
2020-03-11,US,7.16,0.17,5.92,1.88,5.99,4.71
2020-03-12,US,6.5,0.16,5.51,1.84,5.74,4.36
2020-03-13,US,6.31,0.14,5.28,1.7,5.44,4.16
2020-03-14,US,7.28,0.14,5.94,1.86,6.05,4.49
2020-03-15,US,7.34,0.14,5.91,1.81,6.14,4.38
2020-03-16,US,6.62,0.14,5.48,1.66,6.1,4.08
2020-03-17,US,6.77,0.13,5.51,1.62,5.79,4.06
2020-03-18,US,6.87,0.13,5.57,1.6,5.71,4.06
2020-03-19,US,7.2,0.13,5.53,1.59,5.71,4.07
2020-03-20,US,7.42,0.12,5.47,1.57,5.41,3.99
2020-03-21,US,8.58,0.13,6.06,1.66,5.78,4.22
2020-03-22,US,8.99,0.13,6.09,1.68,5.76,4.22
2020-03-23,US,8.12,0.14,5.65,1.67,5.46,4.07
2020-03-24,US,8.12,0.13,5.79,1.69,5.57,4.35
2020-03-25,US,7.96,0.13,5.8,1.68,5.42,4.36
2020-03-26,US,7.95,0.13,5.93,1.67,5.66,4.24
2020-03-27,US,7.87,0.12,5.99,1.66,5.46,4.27
2020-03-28,US,8.73,0.12,6.53,1.74,5.71,4.48
2020-03-29,US,8.98,0.12,6.62,1.73,5.84,4.45
2020-03-30,US,8.27,0.12,6.14,1.73,5.53,4.3
2020-03-31,US,9.02,0.12,5.99,1.77,5.29,4.21
2020-04-01,US,9.01,0.12,5.87,1.67,5.27,4.12
2020-04-02,US,10.08,0.12,5.95,1.65,5.38,4.15
2020-04-03,US,11.12,0.12,5.88,1.61,5.24,4.05
2020-04-04,US,12.09,0.12,6.54,1.71,5.92,4.34
2020-04-05,US,11.18,0.12,6.71,1.73,6.03,4.45
2020-04-06,US,10.11,0.13,6.49,1.73,6.12,4.38
2020-04-07,US,9.64,0.12,6.58,1.69,6.24,4.47
2020-04-08,US,9.41,0.12,6.62,1.68,6.14,4.5
2020-04-09,US,9.11,0.12,6.45,1.69,5.77,4.41
2020-04-10,US,9.14,0.12,6.44,1.77,5.72,4.27
2020-04-11,US,9.62,0.12,6.95,1.86,6.17,4.44
2020-04-12,US,8.98,0.12,6.99,1.81,6.11,5.21
2020-04-13,US,9.17,0.13,6.57,1.81,5.78,4.43
2020-04-14,US,9.57,0.13,6.59,1.81,6.03,4.39
2020-04-15,US,9.75,0.12,6.17,1.68,5.51,4.18
2020-04-16,US,10.26,0.12,6.37,1.65,5.67,4.41
2020-04-17,US,10.04,0.12,6.38,1.63,5.61,4.27
2020-04-18,US,10.79,0.12,6.95,1.71,6.1,4.5
2020-04-19,US,10.99,0.13,7.24,1.75,6.33,4.69
2020-04-20,US,9.71,0.14,6.81,1.75,6.16,4.57
2020-04-21,US,9.74,0.13,6.73,1.69,6.1,4.58
2020-04-22,US,9.62,0.13,6.94,1.67,5.96,4.85
2020-04-23,US,9.54,0.13,6.55,1.68,5.75,4.64
2020-04-24,US,9.28,0.13,6.53,1.64,5.74,4.54
2020-04-25,US,10.05,0.16,7.37,1.72,6.44,4.86
2020-04-26,US,10.09,0.13,7.48,1.76,6.58,4.99
2020-04-27,US,9.34,0.13,7.13,1.77,6.29,4.83
2020-04-28,US,9.61,0.13,7.35,1.72,6.4,4.85
2020-04-29,US,9.52,0.13,6.98,1.7,6.22,4.79
2020-04-30,US,9.49,0.12,6.74,1.7,5.99,4.7
2020-05-01,US,9.12,0.12,6.84,1.65,6.13,4.68
2020-05-02,US,9.65,0.12,8.13,1.72,7.33,5.21
2020-05-03,US,9.78,0.12,8.54,1.71,7.84,5.43
2020-05-04,US,9.04,0.13,7.75,1.72,7.0,5.16
2020-05-05,US,9.04,0.13,7.42,1.69,6.72,4.94
